"author","papers"
"Lima, Danilo A.","Development of a digital twin for monitoring the autonomy of intelligent and connected electric vehicles"
"Lima, Fábio S.","Seed Dispenser for Reforestation with Drones"
"Lima, Lucas P.","Development of a Robotic System for the Introduction of Space Robotics Concepts in Basic Education"
"Lima, Pereira R. R.","Control and Simulation of a Line-Follower Robot"
"Lima, Vieira","Unplugged Computing and Educational Robotics in Early Childhood Education: Outreach Experiences with Playful and Sustainable Practices"
"Lizarralde, Fernando","Task-Space Trajectory Planning for Redundant Robotic Systems in Wire Arc Additive Manufacturing"
"Lopes, Moreira","An Active Learning Methodology for Teaching the Kalman Filter in Robotics Applications"
"Luche, Gabriel B.","Modeling and Control of Wind Disturbances in a Hybrid Unmanned Aerial-Underwater Vehicle"
"Luna, Fernanda M.","Improving Indoor Mobile Robot Localization Using Integrated EKF-SLAM, AMCL and ArUco Fiducial Markers"
"Lustosa, Eduardo L.","An Active Learning Methodology for Teaching the Kalman Filter in Robotics Applications"
"López-Flores, Marlon M.","A Conceptual and Computational Model of Drone Swarms Using Flocking Dynamics"
"Machado, Cabral I. F.","An Active Learning Methodology for Teaching the Kalman Filter in Robotics Applications"
"Macharet, Douglas G.","Adaptive Swarm Navigation: Dynamic Switching Between Behaviors for Congestion Avoidance in Cluttered Environments; Communication Backbone Deployment with Connectivity Maintenance; Dynamic Coalition Formation for Probabilistic Perimeter Defense with Homogeneous Defenders; Graph Connectivity Maintenance for Multi-Robots Systems under Visual Occlusion Constraints via CBFs; Multi-agent Perimeter Defense of Spatially Distributed Regions; Reward Shaping for Learning the Pre-Skimming Reach Phase with a Robotic Manipulator"
"Maia, Guilherme","Deep Reinforcement Learning for Quadruped Locomotion in Genesis: A Comparative Study of PPO, SAC, and TD3 in Irregular Terrains"
"Manrique, Victor R.","Performance Analysis of the IMM-EKF Estimator for Trajectory Prediction of the Hermes 900 UAV"
"Marafa, Nasiru A.","A Human–Exoskeleton Co–Learning Framework for Adaptive and Synergistic Interaction in Rehabilitation Settings"
"Marconi, Kenedy","LIBRAS Alphabet Recognition System Based on Landmarks and Artificial Neural Networks"
"Marcos, Luiz","Challenges on Operational Procedures and Practical Experiences on Data Collection with Autonomous Sailboats; Unplugged Computing and Educational Robotics in Early Childhood Education: Outreach Experiences with Playful and Sustainable Practices"
"Maria, Evelyn","Bridging TurboWarp and NAO: API Architecture for Block-Based Humanoid Robot Programming"
"Marques, João E.","LIBRAS Alphabet Recognition System Based on Landmarks and Artificial Neural Networks"
"Martinelli, Dieisson","Miniaturized Mobile Robot for Educational Applications in Logistics"
"Martins, Fraga","Development of an Educational Robotics Kit Without the Use of Screens"
"Martins, Jourdan H.","Control and Simulation of a Line-Follower Robot"
"Martins, Thiago","An Active Learning Methodology for Teaching the Kalman Filter in Robotics Applications"
"Martins, Thiago C.","Development of an Integrated Software System for an Othello-Playing Collaborative Robot; Embodied GPT-5.1: Evidence of a World Model?"
"Matubara, Lisa","Mapping and Localization in Confined Underwater Environments: A Review and Research Agenda; Systematic Review on Sensor Fusion Techniques for Mobile Robots Using LiDAR and Complementary Sensors; Transformer Models for Underwater 3D Reconstruction: Advances, Challenges and Trends; Underwater Localization in Low-Texture Environments: Review, State of the Art and Perspectives"
